,year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_intensity
883,1975,BASF,Investor-owned Company,Natural Gas,63.567,Bcf/yr,4.6334234441313225,0.07289039036184376
884,1975,BASF,Investor-owned Company,Anthracite Coal,2.68,Million tonnes/yr,7.81940175164852,2.917687220764373
885,1976,BASF,Investor-owned Company,Oil & NGL,12.6076,Million bbl/yr,5.027632212641912,0.3987778968750525
886,1976,BASF,Investor-owned Company,Natural Gas,73.45519999999999,Bcf/yr,5.354178202107304,0.07289039036184375
887,1976,BASF,Investor-owned Company,Anthracite Coal,2.6,Million tonnes/yr,7.585986773987368,2.917687220764372
888,1977,BASF,Investor-owned Company,Oil & NGL,13.3406,Million bbl/yr,5.3199364110513265,0.3987778968750526
889,1977,BASF,Investor-owned Company,Natural Gas,69.57055,Bcf/yr,5.071024547188169,0.07289039036184376
890,1977,BASF,Investor-owned Company,Anthracite Coal,2.7,Million tonnes/yr,7.8777554960638065,2.9176872207643725
891,1978,BASF,Investor-owned Company,Oil & NGL,15.5396,Million bbl/yr,6.196849006279567,0.3987778968750526
892,1978,BASF,Investor-owned Company,Natural Gas,67.09849999999999,Bcf/yr,4.890835857694172,0.07289039036184375
893,1978,BASF,Investor-owned Company,Anthracite Coal,2.76,Million tonnes/yr,8.052816729309667,2.9176872207643725
894,1979,BASF,Investor-owned Company,Oil & NGL,16.1993,Million bbl/yr,6.4599227848480405,0.3987778968750526
895,1979,BASF,Investor-owned Company,Natural Gas,73.10204999999998,Bcf/yr,5.328436960751019,0.07289039036184376
896,1979,BASF,Investor-owned Company,Anthracite Coal,2.97,Million tonnes/yr,8.665531045670187,2.9176872207643725
897,1980,BASF,Investor-owned Company,Oil & NGL,16.5658,Million bbl/yr,6.606074884052745,0.39877789687505255
898,1980,BASF,Investor-owned Company,Natural Gas,63.213849999999994,Bcf/yr,4.607682202775036,0.07289039036184375
899,1980,BASF,Investor-owned Company,Anthracite Coal,3.03,Million tonnes/yr,8.840592278916048,2.9176872207643725
900,1981,BASF,Investor-owned Company,Oil & NGL,17.592,Million bbl/yr,7.015300761825925,0.3987778968750526
901,1981,BASF,Investor-owned Company,Natural Gas,60.7418,Bcf/yr,4.42749351328104,0.07289039036184373
902,1981,BASF,Investor-owned Company,Anthracite Coal,3.17,Million tonnes/yr,9.249068489823062,2.917687220764373
903,1982,BASF,Investor-owned Company,Oil & NGL,19.058,Million bbl/yr,7.599909158644754,0.39877789687505266
904,1982,BASF,Investor-owned Company,Natural Gas,59.32919999999999,Bcf/yr,4.324528547855899,0.07289039036184375
905,1982,BASF,Investor-owned Company,Anthracite Coal,3.19,Million tonnes/yr,9.307422234238349,2.9176872207643725
906,1983,BASF,Investor-owned Company,Oil & NGL,20.2308,Million bbl/yr,8.067595876099814,0.3987778968750526
907,1983,BASF,Investor-owned Company,Natural Gas,69.57055,Bcf/yr,5.071024547188169,0.07289039036184376
908,1983,BASF,Investor-owned Company,Anthracite Coal,2.9,Million tonnes/yr,8.46129294021668,2.9176872207643725
909,1984,BASF,Investor-owned Company,Oil & NGL,22.723000000000003,Million bbl/yr,9.061430150691821,0.3987778968750526
910,1984,BASF,Investor-owned Company,Natural Gas,70.63,Bcf/yr,5.1482482712570246,0.07289039036184376
911,1984,BASF,Investor-owned Company,Anthracite Coal,3.15,Million tonnes/yr,9.190714745407773,2.9176872207643725
912,1985,BASF,Investor-owned Company,Oil & NGL,23.7492,Million bbl/yr,9.470656028465,0.3987778968750526
913,1985,BASF,Investor-owned Company,Natural Gas,61.80125,Bcf/yr,4.5047172373498965,0.07289039036184375
914,1985,BASF,Investor-owned Company,Anthracite Coal,3.19,Million tonnes/yr,9.307422234238349,2.9176872207643725
915,1986,BASF,Investor-owned Company,Oil & NGL,23.6759,Million bbl/yr,9.441425608624057,0.39877789687505255
916,1986,BASF,Investor-owned Company,Natural Gas,56.15085,Bcf/yr,4.092857375649334,0.07289039036184375
917,1986,BASF,Investor-owned Company,Anthracite Coal,2.752,Million tonnes/yr,8.029475231543554,2.917687220764373
918,1987,BASF,Investor-owned Company,Oil & NGL,24.7021,Million bbl/yr,9.850651486397235,0.3987778968750525
919,1987,BASF,Investor-owned Company,Natural Gas,68.15795,Bcf/yr,4.968059581763028,0.07289039036184375
920,1987,BASF,Investor-owned Company,Anthracite Coal,3.0,Million tonnes/yr,8.753061662293119,2.917687220764373
921,1988,BASF,Investor-owned Company,Oil & NGL,26.9011,Million bbl/yr,10.727564081625475,0.39877789687505255
922,1988,BASF,Investor-owned Company,Natural Gas,70.63,Bcf/yr,5.1482482712570246,0.07289039036184376
923,1988,BASF,Investor-owned Company,Anthracite Coal,2.9,Million tonnes/yr,8.46129294021668,2.9176872207643725
924,1989,BASF,Investor-owned Company,Oil & NGL,26.7545,Million bbl/yr,10.669103241943596,0.3987778968750526
925,1989,BASF,Investor-owned Company,Natural Gas,77.693,Bcf/yr,5.6630730983827275,0.07289039036184376
926,1989,BASF,Investor-owned Company,Anthracite Coal,3.0,Million tonnes/yr,8.753061662293119,2.917687220764373
927,1990,BASF,Investor-owned Company,Oil & NGL,30.786,Million bbl/yr,12.276776333195368,0.39877789687505255
928,1990,BASF,Investor-owned Company,Natural Gas,70.63,Bcf/yr,5.1482482712570246,0.07289039036184376
929,1990,BASF,Investor-owned Company,Anthracite Coal,2.9,Million tonnes/yr,8.46129294021668,2.9176872207643725
930,1991,BASF,Investor-owned Company,Oil & NGL,34.3044,Million bbl/yr,13.679836485560552,0.3987778968750525
931,1991,BASF,Investor-owned Company,Natural Gas,73.10204999999998,Bcf/yr,5.328436960751019,0.07289039036184376
932,1992,BASF,Investor-owned Company,Oil & NGL,33.717999999999996,Million bbl/yr,13.445993126833022,0.3987778968750526
933,1992,BASF,Investor-owned Company,Natural Gas,70.63,Bcf/yr,5.1482482712570246,0.07289039036184376
934,1993,BASF,Investor-owned Company,Oil & NGL,35.184,Million bbl/yr,14.03060152365185,0.3987778968750526
935,1993,BASF,Investor-owned Company,Natural Gas,67.09849999999999,Bcf/yr,4.890835857694172,0.07289039036184375
936,1994,BASF,Investor-owned Company,Oil & NGL,40.315,Million bbl/yr,16.076730912517746,0.39877789687505266
937,1994,BASF,Investor-owned Company,Natural Gas,77.693,Bcf/yr,5.6630730983827275,0.07289039036184376
938,1995,BASF,Investor-owned Company,Oil & NGL,44.713,Million bbl/yr,17.830556102974228,0.3987778968750526
939,1995,BASF,Investor-owned Company,Natural Gas,77.693,Bcf/yr,5.6630730983827275,0.07289039036184376
940,1996,BASF,Investor-owned Company,Oil & NGL,53.509,Million bbl/yr,21.33820648388719,0.3987778968750526
941,1996,BASF,Investor-owned Company,Natural Gas,88.2875,Bcf/yr,6.435310339071279,0.07289039036184373
942,1997,BASF,Investor-owned Company,Oil & NGL,47.0,Million bbl/yr,18.742561153127472,0.3987778968750526
943,1997,BASF,Investor-owned Company,Natural Gas,73.0,Bcf/yr,5.320998496414592,0.07289039036184373
944,1998,BASF,Investor-owned Company,Oil & NGL,53.0,Million bbl/yr,21.135228534377788,0.3987778968750526
945,1998,BASF,Investor-owned Company,Natural Gas,71.0,Bcf/yr,5.1752177156909065,0.07289039036184375
946,1999,BASF,Investor-owned Company,Oil & NGL,55.0,Million bbl/yr,21.932784328127894,0.3987778968750526
947,1999,BASF,Investor-owned Company,Natural Gas,135.0,Bcf/yr,9.840202698848906,0.07289039036184375
948,2000,BASF,Investor-owned Company,Oil & NGL,56.0,Million bbl/yr,22.331562225002944,0.39877789687505255
949,2000,BASF,Investor-owned Company,Natural Gas,145.0,Bcf/yr,10.569106602467343,0.07289039036184375
950,2001,BASF,Investor-owned Company,Oil & NGL,60.0,Million bbl/yr,23.926673812503157,0.3987778968750526
951,2001,BASF,Investor-owned Company,Natural Gas,186.0,Bcf/yr,13.557612607302936,0.07289039036184373
952,2002,BASF,Investor-owned Company,Oil & NGL,60.0,Million bbl/yr,23.926673812503157,0.3987778968750526
953,2002,BASF,Investor-owned Company,Natural Gas,189.0,Bcf/yr,13.77628377838847,0.07289039036184375
954,2003,BASF,Investor-owned Company,Oil & NGL,65.0,Million bbl/yr,25.920563296878417,0.39877789687505255
955,2003,BASF,Investor-owned Company,Natural Gas,228.0,Bcf/yr,16.619009002500373,0.07289039036184375
956,2004,BASF,Investor-owned Company,Oil & NGL,64.087528206,Million bbl/yr,25.55668971390929,0.39877789687505255
957,2004,BASF,Investor-owned Company,Natural Gas,258.007460492382,Bcf/yr,18.806264511557703,0.07289039036184375
958,2005,BASF,Investor-owned Company,Oil & NGL,65.815729632,Million bbl/yr,26.245858243946035,0.39877789687505255
959,2005,BASF,Investor-owned Company,Natural Gas,272.069528955104,Bcf/yr,19.83125417110048,0.07289039036184375
960,2006,BASF,Investor-owned Company,Oil & NGL,87.68300725,Million bbl/yr,34.966045222834985,0.39877789687505255
961,2006,BASF,Investor-owned Company,Natural Gas,383.16673985325,Bcf/yr,27.929173241578425,0.07289039036184375
962,2007,BASF,Investor-owned Company,Oil & NGL,82.016115038,Million bbl/yr,32.70621386471601,0.3987778968750526
963,2007,BASF,Investor-owned Company,Natural Gas,404.561038275886,Bcf/yr,29.48861200512214,0.07289039036184375
964,2008,BASF,Investor-owned Company,Oil & NGL,72.9,Million bbl/yr,29.070908682191337,0.3987778968750526
965,2008,BASF,Investor-owned Company,Natural Gas,507.7,Bcf/yr,37.00645118670807,0.07289039036184375
966,2009,BASF,Investor-owned Company,Oil & NGL,64.5,Million bbl/yr,25.721174348440893,0.3987778968750526
967,2009,BASF,Investor-owned Company,Natural Gas,610.9,Bcf/yr,44.52873947205035,0.07289039036184375
968,2010,BASF,Investor-owned Company,Oil & NGL,57.5,Million bbl/yr,22.929729070315524,0.3987778968750526
969,2010,BASF,Investor-owned Company,Natural Gas,636.3,Bcf/yr,46.380155387241174,0.07289039036184375
970,2011,BASF,Investor-owned Company,Oil & NGL,67.9,Million bbl/yr,27.07701919781607,0.39877789687505255
971,2011,BASF,Investor-owned Company,Natural Gas,388.2,Bcf/yr,28.296049538467745,0.07289039036184375
972,2012,BASF,Investor-owned Company,Oil & NGL,74.3,Million bbl/yr,29.629197737816412,0.39877789687505266
973,2012,BASF,Investor-owned Company,Natural Gas,378.9,Bcf/yr,27.6181689081026,0.07289039036184376
974,2013,BASF,Investor-owned Company,Oil & NGL,70.9,Million bbl/yr,28.273352888441227,0.39877789687505255
975,2013,BASF,Investor-owned Company,Natural Gas,479.4,Bcf/yr,34.94365313946789,0.07289039036184375
976,2014,BASF,Investor-owned Company,Oil & NGL,70.7,Million bbl/yr,28.19359730906622,0.3987778968750526
977,2014,BASF,Investor-owned Company,Natural Gas,602.7333333,Bcf/yr,43.933467948332286,0.07289039036184376
978,2015,BASF,Investor-owned Company,Oil & NGL,70.5,Million bbl/yr,28.11384172969121,0.3987778968750526
979,2015,BASF,Investor-owned Company,Natural Gas,726.0666667,Bcf/yr,52.923282764485705,0.07289039036184375
980,2016,BASF,Investor-owned Company,Oil & NGL,70.265,Million bbl/yr,28.020128923925572,0.3987778968750526
981,2016,BASF,Investor-owned Company,Natural Gas,849.42,Bcf/yr,61.91455538115732,0.07289039036184376
982,2017,BASF,Investor-owned Company,Oil & NGL,68.25,Million bbl/yr,27.216591461722334,0.3987778968750525
983,2017,BASF,Investor-owned Company,Natural Gas,829.1,Bcf/yr,60.43342264900466,0.07289039036184376
984,2018,BASF,Investor-owned Company,Oil & NGL,71.885,Million bbl/yr,28.666149116863153,0.39877789687505255
985,2018,BASF,Investor-owned Company,Natural Gas,861.87,Bcf/yr,62.82204074116227,0.07289039036184375
986,2019,BASF,Investor-owned Company,Oil & NGL,63.057399999999994,Million bbl/yr,25.145897354408937,0.39877789687505255
987,2019,BASF,Investor-owned Company,Natural Gas,972.8856,Bcf/yr,70.91401116141657,0.07289039036184375
988,2020,BASF,Investor-owned Company,Oil & NGL,63.6706,Million bbl/yr,25.390427960772723,0.39877789687505255
989,2020,BASF,Investor-owned Company,Natural Gas,982.3464,Bcf/yr,71.60361256655192,0.07289039036184376
990,2021,BASF,Investor-owned Company,Oil & NGL,64.7948,Million bbl/yr,25.838734072439657,0.3987778968750526
991,2021,BASF,Investor-owned Company,Natural Gas,1000.3482,Bcf/yr,72.91577079576774,0.07289039036184375
992,2022,BASF,Investor-owned Company,Oil & NGL,60.59,Million bbl/yr,24.161952771659433,0.3987778968750525
993,2022,BASF,Investor-owned Company,Natural Gas,943.89,Bcf/yr,68.80051055864071,0.07289039036184376
994,1955,BHP,Investor-owned Company,Thermal Coal,2.41819186,Million tonnes/yr,5.7297319915965215,2.3694282022752824
995,1956,BHP,Investor-owned Company,Thermal Coal,2.56043844,Million tonnes/yr,6.06677504992573,2.369428202275283
996,1957,BHP,Investor-owned Company,Thermal Coal,3.0583014699999995,Million tonnes/yr,7.246425754077953,2.369428202275283
997,1958,BHP,Investor-owned Company,Thermal Coal,3.2208689899999996,Million tonnes/yr,7.631617820739906,2.369428202275283
998,1959,BHP,Investor-owned Company,Thermal Coal,3.42407839,Million tonnes/yr,8.113107904067345,2.369428202275283
999,1960,BHP,Investor-owned Company,Thermal Coal,3.5866459099999997,Million tonnes/yr,8.498299970729294,2.3694282022752824
1000,1961,BHP,Investor-owned Company,Thermal Coal,3.667929669999999,Million tonnes/yr,8.69089600406027,2.3694282022752833
1001,1962,BHP,Investor-owned Company,Thermal Coal,4.23691599,Million tonnes/yr,10.0390682373771,2.369428202275283
1002,1963,BHP,Investor-owned Company,Thermal Coal,4.42996492,Million tonnes/yr,10.496483816538168,2.3694282022752833
1003,1964,BHP,Investor-owned Company,Thermal Coal,4.79574184,Million tonnes/yr,11.363165966527555,2.3694282022752824
1004,1965,BHP,Investor-owned Company,Thermal Coal,5.41553051,Million tonnes/yr,12.831710720676243,2.3694282022752824
1005,1966,BHP,Investor-owned Company,Thermal Coal,6.04547965,Million tonnes/yr,14.324329978991306,2.369428202275283
1006,1967,BHP,Investor-owned Company,Thermal Coal,6.01499824,Million tonnes/yr,14.25210646649219,2.369428202275283
1007,1968,BHP,Investor-owned Company,Thermal Coal,6.197886699999999,Million tonnes/yr,14.685447541486884,2.369428202275283
1008,1969,BHP,Investor-owned Company,Natural Gas,0.2,Bcf/yr,0.0145780780723687,0.0728903903618435
1009,1969,BHP,Investor-owned Company,Thermal Coal,6.82783584,Million tonnes/yr,16.178066799801947,2.3694282022752833
1010,1970,BHP,Investor-owned Company,Oil & NGL,4.5,Million bbl/yr,1.7945005359377368,0.3987778968750526
1011,1970,BHP,Investor-owned Company,Natural Gas,3.7,Bcf/yr,0.2696944443388219,0.07289039036184375
1012,1970,BHP,Investor-owned Company,Metallurgical Coal,6.941,Million tonnes/yr,20.59128912345472,2.9666170758471
1013,1971,BHP,Investor-owned Company,Oil & NGL,35.0,Million bbl/yr,13.95722639062684,0.39877789687505255
1014,1971,BHP,Investor-owned Company,Natural Gas,8.440205413000001,Bcf/yr,0.6152098672877168,0.07289039036184375
1015,1971,BHP,Investor-owned Company,Metallurgical Coal,6.001,Million tonnes/yr,17.80266907215845,2.9666170758471004
1016,1972,BHP,Investor-owned Company,Oil & NGL,55.0747,Million bbl/yr,21.96257303702446,0.3987778968750526
1017,1972,BHP,Investor-owned Company,Natural Gas,11.865728112,Bcf/yr,0.8648975540111833,0.07289039036184376
1018,1972,BHP,Investor-owned Company,Metallurgical Coal,7.147,Million tonnes/yr,21.202412241079234,2.9666170758471013
1019,1973,BHP,Investor-owned Company,Oil & NGL,56.985,Million bbl/yr,22.724358453424873,0.3987778968750526
1020,1973,BHP,Investor-owned Company,Natural Gas,17.904536169,Bcf/yr,1.3050686306061603,0.07289039036184375
1021,1973,BHP,Investor-owned Company,Thermal Coal,0.049,Million tonnes/yr,0.1161019819114888,2.3694282022752815
1022,1973,BHP,Investor-owned Company,Metallurgical Coal,6.89,Million tonnes/yr,20.439991652586524,2.966617075847101
1023,1974,BHP,Investor-owned Company,Oil & NGL,69.5172,Million bbl/yr,27.721922812642408,0.3987778968750526
1024,1974,BHP,Investor-owned Company,Natural Gas,25.391245573,Bcf/yr,1.8507778015894072,0.07289039036184376
1025,1974,BHP,Investor-owned Company,Thermal Coal,0.072,Million tonnes/yr,0.1705988305638203,2.369428202275282
1026,1974,BHP,Investor-owned Company,Metallurgical Coal,7.168,Million tonnes/yr,21.264711199672018,2.9666170758471004
1027,1975,BHP,Investor-owned Company,Oil & NGL,69.18,Million bbl/yr,27.58745490581614,0.3987778968750526
1028,1975,BHP,Investor-owned Company,Natural Gas,32.454178973,Bcf/yr,2.3655977742151113,0.07289039036184375
1029,1975,BHP,Investor-owned Company,Thermal Coal,0.194,Million tonnes/yr,0.4596690712414049,2.369428202275283
1030,1975,BHP,Investor-owned Company,Metallurgical Coal,6.306,Million tonnes/yr,18.707487280291815,2.9666170758471004
1031,1976,BHP,Investor-owned Company,Oil & NGL,73.5012,Million bbl/yr,29.310653953792613,0.39877789687505255
1032,1976,BHP,Investor-owned Company,Natural Gas,40.399979048,Bcf/yr,2.9447702434190286,0.07289039036184375
1033,1976,BHP,Investor-owned Company,Thermal Coal,1.802,Million tonnes/yr,4.26970962050006,2.369428202275283
1034,1976,BHP,Investor-owned Company,Metallurgical Coal,6.56,Million tonnes/yr,19.461008017556978,2.9666170758471004
1035,1977,BHP,Investor-owned Company,Oil & NGL,76.0436,Million bbl/yr,30.324506878807753,0.39877789687505266
1036,1977,BHP,Investor-owned Company,Natural Gas,46.933192443,Bcf/yr,3.4209787180978055,0.07289039036184375
1037,1977,BHP,Investor-owned Company,Thermal Coal,2.715,Million tonnes/yr,6.432997569177393,2.369428202275283
1038,1977,BHP,Investor-owned Company,Metallurgical Coal,6.325,Million tonnes/yr,18.763853004732912,2.9666170758471004
1039,1978,BHP,Investor-owned Company,Oil & NGL,79.9831,Million bbl/yr,31.895492403547017,0.3987778968750526
1040,1978,BHP,Investor-owned Company,Natural Gas,51.347525818,Bcf/yr,3.7427412009888714,0.07289039036184378
1041,1978,BHP,Investor-owned Company,Thermal Coal,2.707,Million tonnes/yr,6.4140421435591914,2.3694282022752833
1042,1978,BHP,Investor-owned Company,Metallurgical Coal,7.029,Million tonnes/yr,20.85235142612927,2.966617075847101
1043,1979,BHP,Investor-owned Company,Oil & NGL,79.3255,Million bbl/yr,31.633256058561987,0.3987778968750526
1044,1979,BHP,Investor-owned Company,Natural Gas,57.633536544,Bcf/yr,4.200930976625747,0.07289039036184375
1045,1979,BHP,Investor-owned Company,Thermal Coal,2.754,Million tonnes/yr,6.525405269066129,2.369428202275283
1046,1979,BHP,Investor-owned Company,Metallurgical Coal,5.805,Million tonnes/yr,17.221212125292418,2.9666170758471004
1047,1980,BHP,Investor-owned Company,Oil & NGL,78.6423,Million bbl/yr,31.360810999416948,0.39877789687505255
1048,1980,BHP,Investor-owned Company,Natural Gas,65.296819283,Bcf/yr,4.759510646924637,0.07289039036184376
1049,1980,BHP,Investor-owned Company,Thermal Coal,5.81,Million tonnes/yr,13.766377855219393,2.369428202275283
1050,1980,BHP,Investor-owned Company,Metallurgical Coal,1.4,Million tonnes/yr,4.15326390618594,2.9666170758471004
1051,1981,BHP,Investor-owned Company,Oil & NGL,73.9678,Million bbl/yr,29.496723720474513,0.3987778968750526
1052,1981,BHP,Investor-owned Company,Natural Gas,81.859398106,Bcf/yr,5.9667634827319125,0.07289039036184375
1053,1981,BHP,Investor-owned Company,Thermal Coal,7.38,Million tonnes/yr,17.486380132791588,2.369428202275283
1054,1981,BHP,Investor-owned Company,Metallurgical Coal,1.6,Million tonnes/yr,4.746587321355361,2.9666170758471004
1055,1982,BHP,Investor-owned Company,Oil & NGL,160.0,Million bbl/yr,63.80446350000842,0.3987778968750526
1056,1982,BHP,Investor-owned Company,Natural Gas,95.031768897,Bcf/yr,6.926902731678852,0.07289039036184375
1057,1982,BHP,Investor-owned Company,Thermal Coal,9.2,Million tonnes/yr,21.7987394609326,2.369428202275283
1058,1982,BHP,Investor-owned Company,Metallurgical Coal,1.8,Million tonnes/yr,5.33991073652478,2.9666170758471
1059,1983,BHP,Investor-owned Company,Oil & NGL,180.0,Million bbl/yr,71.78002143750946,0.39877789687505255
1060,1983,BHP,Investor-owned Company,Natural Gas,88.710443504,Bcf/yr,6.466138856178846,0.07289039036184375
1061,1983,BHP,Investor-owned Company,Thermal Coal,10.3,Million tonnes/yr,24.405110483435415,2.369428202275283
1062,1983,BHP,Investor-owned Company,Metallurgical Coal,2.2,Million tonnes/yr,6.52655756686362,2.9666170758471
1063,1984,BHP,Investor-owned Company,Oil & NGL,92.863,Million bbl/yr,37.031711837508006,0.39877789687505255
1064,1984,BHP,Investor-owned Company,Natural Gas,92.771630209,Bcf/yr,6.762160340438627,0.07289039036184376
1065,1984,BHP,Investor-owned Company,Thermal Coal,9.17,Million tonnes/yr,21.727656614864344,2.369428202275283
1066,1984,BHP,Investor-owned Company,Metallurgical Coal,8.64,Million tonnes/yr,25.63157153531895,2.9666170758471004
1067,1985,BHP,Investor-owned Company,Oil & NGL,101.5322,Million bbl/yr,40.488797181097205,0.3987778968750525
1068,1985,BHP,Investor-owned Company,Natural Gas,94.784566228,Bcf/yr,6.9088840326369505,0.07289039036184373
1069,1985,BHP,Investor-owned Company,Thermal Coal,25.59,Million tonnes/yr,60.633667696224485,2.369428202275283
1070,1985,BHP,Investor-owned Company,Metallurgical Coal,9.34,Million tonnes/yr,27.70820348841192,2.966617075847101
1071,1986,BHP,Investor-owned Company,Oil & NGL,93.386,Million bbl/yr,37.240272677573664,0.39877789687505266
1072,1986,BHP,Investor-owned Company,Natural Gas,121.023363809,Bcf/yr,8.821440230941445,0.07289039036184376
1073,1986,BHP,Investor-owned Company,Thermal Coal,30.206,Million tonnes/yr,71.5709482779272,2.3694282022752833
1074,1986,BHP,Investor-owned Company,Metallurgical Coal,9.61,Million tonnes/yr,28.509190098890635,2.9666170758471004
1075,1987,BHP,Investor-owned Company,Oil & NGL,92.92440000000002,Million bbl/yr,37.056196800376135,0.3987778968750525
1076,1987,BHP,Investor-owned Company,Natural Gas,131.123358571,Bcf/yr,9.557632791796202,0.07289039036184375
1077,1987,BHP,Investor-owned Company,Thermal Coal,27.788,Million tonnes/yr,65.84167088482556,2.369428202275283
1078,1987,BHP,Investor-owned Company,Metallurgical Coal,11.681,Million tonnes/yr,34.65305406296998,2.9666170758471004
1079,1988,BHP,Investor-owned Company,Oil & NGL,92.809,Million bbl/yr,37.01017783107675,0.39877789687505255
1080,1988,BHP,Investor-owned Company,Natural Gas,177.844663012,Bcf/yr,12.963166910715234,0.07289039036184375
1081,1988,BHP,Investor-owned Company,Thermal Coal,27.465,Million tonnes/yr,65.07634557549065,2.369428202275283
1082,1988,BHP,Investor-owned Company,Metallurgical Coal,9.358,Million tonnes/yr,27.76160259577717,2.966617075847101
1083,1989,BHP,Investor-owned Company,Oil & NGL,82.0,Million bbl/yr,32.69978754375431,0.3987778968750526
1084,1989,BHP,Investor-owned Company,Natural Gas,175.0,Bcf/yr,12.755818313322656,0.07289039036184375
1085,1989,BHP,Investor-owned Company,Thermal Coal,30.765,Million tonnes/yr,72.89545864299909,2.3694282022752833
1086,1989,BHP,Investor-owned Company,Metallurgical Coal,8.766,Million tonnes/yr,26.005365286875683,2.9666170758471004
1087,1990,BHP,Investor-owned Company,Oil & NGL,104.0,Million bbl/yr,41.47290127500547,0.3987778968750526
1088,1990,BHP,Investor-owned Company,Natural Gas,204.0,Bcf/yr,14.869639633816126,0.07289039036184375
1089,1990,BHP,Investor-owned Company,Thermal Coal,31.019,Million tonnes/yr,73.497293406377,2.369428202275283
1090,1990,BHP,Investor-owned Company,Metallurgical Coal,7.63,Million tonnes/yr,22.635288288713376,2.9666170758471004
1091,1991,BHP,Investor-owned Company,Oil & NGL,113.15,Million bbl/yr,45.1217190314122,0.39877789687505255
1092,1991,BHP,Investor-owned Company,Natural Gas,186.515,Bcf/yr,13.595151158339286,0.07289039036184375
1093,1991,BHP,Investor-owned Company,Thermal Coal,32.453,Million tonnes/yr,76.89505344843978,2.3694282022752833
1094,1991,BHP,Investor-owned Company,Metallurgical Coal,10.61183333,Million tonnes/yr,31.481245962821397,2.9666170758471004
1095,1992,BHP,Investor-owned Company,Oil & NGL,70.81,Million bbl/yr,28.23746287772248,0.39877789687505266
1096,1992,BHP,Investor-owned Company,Natural Gas,191.99,Bcf/yr,13.994226045570382,0.07289039036184375
1097,1992,BHP,Investor-owned Company,Thermal Coal,33.759,Million tonnes/yr,79.98952668061128,2.369428202275283
1098,1992,BHP,Investor-owned Company,Metallurgical Coal,13.59366667,Million tonnes/yr,40.327203666595594,2.966617075847101
1099,1993,BHP,Investor-owned Company,Oil & NGL,111.69,Million bbl/yr,44.53950330197463,0.3987778968750526
1100,1993,BHP,Investor-owned Company,Natural Gas,185.42,Bcf/yr,13.515336180893064,0.07289039036184373
1101,1993,BHP,Investor-owned Company,Thermal Coal,37.261,Million tonnes/yr,88.28726424497933,2.369428202275283
1102,1993,BHP,Investor-owned Company,Metallurgical Coal,16.5755,Million tonnes/yr,49.173161340703615,2.9666170758471004
1103,1994,BHP,Investor-owned Company,Oil & NGL,74.825,Million bbl/yr,29.838556133675812,0.3987778968750526
1104,1994,BHP,Investor-owned Company,Natural Gas,186.515,Bcf/yr,13.595151158339286,0.07289039036184375
1105,1994,BHP,Investor-owned Company,Thermal Coal,36.796,Million tonnes/yr,87.1854801309213,2.369428202275283
1106,1994,BHP,Investor-owned Company,Metallurgical Coal,19.55733333,Million tonnes/yr,58.01911901481163,2.9666170758471004
1107,1995,BHP,Investor-owned Company,Oil & NGL,74.825,Million bbl/yr,29.838556133675812,0.3987778968750526
1108,1995,BHP,Investor-owned Company,Natural Gas,198.925,Bcf/yr,14.499720902729768,0.07289039036184375
1109,1995,BHP,Investor-owned Company,Thermal Coal,39.608,Million tonnes/yr,93.84831223571939,2.369428202275283
1110,1995,BHP,Investor-owned Company,Metallurgical Coal,22.53916667,Million tonnes/yr,66.86507671858583,2.9666170758471004
1111,1996,BHP,Investor-owned Company,Oil & NGL,78.39375,Million bbl/yr,31.261694753148653,0.3987778968750526
1112,1996,BHP,Investor-owned Company,Natural Gas,213.25,Bcf/yr,15.54387574466318,0.07289039036184375
1113,1996,BHP,Investor-owned Company,Thermal Coal,22.897,Million tonnes/yr,54.252797547497146,2.369428202275283
1114,1996,BHP,Investor-owned Company,Metallurgical Coal,25.521,Million tonnes/yr,75.71103439269386,2.966617075847101
1115,1997,BHP,Investor-owned Company,Oil & NGL,81.9625,Million bbl/yr,32.6848333726215,0.39877789687505255
1116,1997,BHP,Investor-owned Company,Natural Gas,227.5,Bcf/yr,16.582563807319453,0.07289039036184375
1117,1997,BHP,Investor-owned Company,Thermal Coal,24.423,Million tonnes/yr,57.86854498416923,2.369428202275283
1118,1997,BHP,Investor-owned Company,Metallurgical Coal,26.911,Million tonnes/yr,79.83463212812133,2.9666170758471004
1119,1998,BHP,Investor-owned Company,Oil & NGL,85.53125,Million bbl/yr,34.107971992094335,0.3987778968750525
1120,1998,BHP,Investor-owned Company,Natural Gas,241.75,Bcf/yr,17.621251869975726,0.07289039036184375
1121,1998,BHP,Investor-owned Company,Thermal Coal,26.503,Million tonnes/yr,62.79695564490182,2.369428202275283
1122,1998,BHP,Investor-owned Company,Metallurgical Coal,29.384,Million tonnes/yr,87.1710761566912,2.9666170758471004
1123,1999,BHP,Investor-owned Company,Oil & NGL,89.1,Million bbl/yr,35.531110611567186,0.3987778968750526
1124,1999,BHP,Investor-owned Company,Natural Gas,256.3,Bcf/yr,18.681807049740556,0.07289039036184376
1125,1999,BHP,Investor-owned Company,Thermal Coal,60.2025,Million tonnes/yr,142.64550134747773,2.3694282022752833
